Final table with combined global absolute abundance estimations from both datasets including functional annotations using cluster of orthologues groups (COG) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Protein Mass (fg) / Cell,,,,,,,,,,,,,,,,,,,,,
P27848,Uncharacterized protein YigL OS=Escherichia coli (strain K12) GN=yigL PE=3 SV=4,yigL,6,275.86,29670.75492,2,4.21E-02,5.80E-02,3.71E-02,2.47E-02,2.71E-02,3.52E-02,3.04E-02,2.81E-02,3.18E-02,2.37E-02,2.15E-02,1.94E-02,5.99E-03,1.14E-02,2.60E-02,2.68E-02,3.24E-02,2.78E-02,3.68E-02,2.22E-02,3.09E-02,3.39E-02
P75931,Virulence factor mviM homolog OS=Escherichia coli (strain K12) GN=mviM PE=1 SV=1,yceM,6,215.97,33642.19711,2,2.19E-03,1.27E-03,1.15E-03,2.17E-03,2.82E-03,2.67E-03,2.81E-03,3.28E-03,2.66E-03,3.66E-03,3.48E-03,3.70E-03,1.59E-03,9.23E-04,5.08E-04,7.45E-04,2.21E-03,1.82E-03,1.49E-03,1.71E-03,1.55E-03,1.42E-03
P0A6J1,Adenylyl-sulfate kinase OS=Escherichia coli (strain K12) GN=cysC PE=1 SV=2,cysC,6,530.73,22289.51644,2,3.09E-02,7.61E-03,1.86E-02,1.75E-02,1.83E-02,1.79E-02,2.01E-02,1.76E-02,1.65E-02,1.07E-02,5.91E-03,4.67E-03,5.58E-03,4.70E-03,1.74E-02,2.67E-02,3.05E-02,1.96E-02,1.46E-02,1.01E-02,1.67E-02,2.22E-02
P0AFJ7,Low-affinity inorganic phosphate transporter 1 OS=Escherichia coli (strain K12) GN=pitA PE=1 SV=1,pitA,6,348.83,53336.39574,2,1.85E-02,2.55E-02,2.36E-02,8.14E-03,1.38E-02,1.49E-02,1.35E-02,2.23E-02,1.63E-02,1.26E-02,1.09E-02,9.49E-03,9.41E-03,1.19E-02,8.62E-03,2.08E-02,1.57E-02,1.73E-02,1.94E-02,1.10E-02,1.66E-02,2.13E-02
P0AGD3,Superoxide dismutase [Fe] OS=Escherichia coli (strain K12) GN=sodB PE=1 SV=2,sodB,6,481.83,21234.51493,2,1.49E-01,7.95E-01,2.03E-01,1.51E-01,1.69E-01,2.49E-01,1.62E-01,1.48E-01,1.62E-01,2.01E-01,1.57E-01,1.19E-01,4.98E-02,4.30E-02,8.95E-02,2.40E-01,1.48E-01,1.14E-01,1.68E-01,9.81E-02,2.06E-01,1.57E-01
P0AGD1,Superoxide dismutase [Cu-Zn] OS=Escherichia coli (strain K12) GN=sodC PE=1 SV=1,sodC,6,307.02,17651.97126,2,1.01E-02,8.20E-03,7.84E-03,7.86E-03,9.03E-03,1.55E-02,8.72E-03,7.15E-03,6.23E-03,5.94E-03,1.08E-02,1.35E-02,4.77E-02,4.03E-02,2.38E-02,7.67E-03,2.10E-02,7.07E-03,8.53E-03,2.11E-02,5.70E-03,6.94E-03
P0A9L3,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fklB PE=1 SV=2,fklB,6,443.87,22184.50613,2,1.61E-01,2.94E-01,3.08E-01,6.62E-02,1.17E-01,1.26E-01,1.23E-01,1.32E-01,1.00E-01,7.75E-02,5.74E-02,3.98E-02,6.25E-02,6.00E-02,1.86E-01,1.03E-01,1.49E-01,1.25E-01,1.10E-01,6.81E-02,1.18E-01,1.32E-01
P0A9N4,Pyruvate formate-lyase 1-activating enzyme OS=Escherichia coli (strain K12) GN=pflA PE=1 SV=2,pflA,6,264.78,28167.96651,2,8.84E-03,1.45E-02,1.21E-02,6.19E-03,7.46E-03,7.33E-03,7.21E-03,6.43E-03,6.74E-03,6.23E-03,6.30E-03,6.55E-03,3.70E-03,2.65E-03,4.74E-03,9.70E-03,9.29E-03,5.71E-03,5.70E-03,5.93E-03,5.24E-03,5.79E-03
P63284,Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1,clpB,6,3517.57,95507.92428,2,1.89E-02,6.71E-02,2.48E-02,2.16E-02,2.45E-02,2.80E-02,2.09E-02,1.80E-02,2.02E-02,1.90E-02,2.06E-02,2.04E-02,9.71E-02,8.68E-02,2.71E-02,8.33E-02,5.95E-02,1.87E-02,1.87E-02,1.14E-02,1.65E-02,1.87E-02
P77544,Uncharacterized GST-like protein yfcF OS=Escherichia coli (strain K12) GN=yfcF PE=1 SV=1,yfcF,6,279.73,24292.47047,2,7.71E-03,2.98E-03,3.18E-03,3.40E-03,4.39E-03,4.57E-03,4.63E-03,2.92E-03,3.69E-03,3.64E-03,3.25E-03,2.95E-03,2.87E-03,3.31E-03,8.04E-03,4.84E-03,1.06E-02,5.63E-03,4.29E-03,4.40E-03,3.61E-03,4.15E-03
P0ACA1,Uncharacterized GST-like protein yibF OS=Escherichia coli (strain K12) GN=yibF PE=1 SV=1,yibF,6,370.5,22512.80566,2,2.38E-02,1.31E-02,2.05E-02,1.57E-02,2.16E-02,2.06E-02,2.34E-02,2.37E-02,1.53E-02,1.25E-02,1.38E-02,1.35E-02,1.29E-02,9.56E-03,2.76E-02,7.33E-03,2.53E-02,2.15E-02,2.22E-02,2.30E-02,2.06E-02,2.26E-02
P0AA25,Thioredoxin-1 OS=Escherichia coli (strain K12) GN=trxA PE=1 SV=2,trxA,6,363.89,11781.10045,2,4.10E-01,5.13E-01,4.97E-01,2.18E-01,2.85E-01,3.92E-01,3.57E-01,3.40E-01,2.92E-01,2.50E-01,2.24E-01,2.01E-01,3.19E-01,3.00E-01,4.79E-01,4.79E-01,5.46E-01,4.20E-01,3.89E-01,4.03E-01,3.49E-01,4.94E-01
P0AAN3,Hydrogenase isoenzymes nickel incorporation protein hypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1,hypB,6,317.45,31526.76539,2,1.24E-03,3.37E-03,1.32E-03,1.22E-03,1.36E-03,9.45E-04,8.11E-04,9.11E-04,1.09E-03,8.70E-04,9.71E-04,1.27E-03,1.95E-04,8.10E-04,1.19E-03,1.07E-03,1.84E-03,1.34E-03,2.04E-03,1.11E-03,1.31E-03,1.37E-03
P08395,Protease 4 OS=Escherichia coli (strain K12) GN=sppA PE=1 SV=2,sppA,6,323.23,67159.17675,2,5.87E-03,9.59E-03,7.28E-03,4.33E-03,5.41E-03,6.14E-03,5.74E-03,7.68E-03,8.85E-03,8.62E-03,7.73E-03,6.61E-03,4.46E-03,2.38E-03,7.26E-03,7.20E-03,7.65E-03,8.48E-03,6.09E-03,3.88E-03,4.90E-03,1.06E-02
P07017,Methyl-accepting chemotaxis protein II OS=Escherichia coli (strain K12) GN=tar PE=1 SV=2,tar,6,396.73,59888.55652,2,1.51E-04,4.40E-04,2.66E-04,1.03E-04,1.85E-04,1.31E-03,5.31E-04,4.20E-04,2.95E-03,8.62E-03,2.35E-03,1.71E-04,2.87E-04,3.61E-03,3.65E-04,1.99E-04,3.76E-04,5.37E-04,2.17E-04,9.45E-04,2.14E-04,6.65E-04
P0A9H7,Cyclopropane-fatty-acyl-phospholipid synthase OS=Escherichia coli (strain K12) GN=cfa PE=1 SV=2,cfa,6,262.42,43862.65146,2,5.17E-03,6.97E-03,4.90E-03,2.90E-03,1.64E-03,3.41E-03,1.85E-03,1.85E-03,3.01E-03,2.43E-03,1.89E-03,1.52E-03,1.58E-03,3.01E-04,5.45E-03,3.63E-03,9.82E-03,4.17E-03,2.19E-03,1.84E-03,1.81E-03,2.36E-03
P29012,"Alanine racemase, catabolic OS=Escherichia coli (strain K12) GN=dadX PE=2 SV=2",dadX,6,442.4,38801.9209,2,1.79E-03,2.65E-02,2.61E-02,9.12E-03,4.53E-03,3.47E-03,3.24E-03,9.29E-03,3.86E-03,4.94E-03,3.24E-03,4.60E-03,2.96E-03,3.32E-03,3.78E-03,1.31E-03,3.33E-03,3.42E-03,2.94E-03,1.19E-03,3.08E-03,2.31E-03
P37760,dTDP-4-dehydrorhamnose reductase OS=Escherichia coli (strain K12) GN=rfbD PE=3 SV=2,rfbD,6,359.82,32655.66505,2,4.13E-02,9.53E-02,7.46E-02,2.75E-02,3.38E-02,2.90E-02,3.12E-02,2.58E-02,2.91E-02,2.43E-02,1.71E-02,1.27E-02,8.60E-03,6.60E-03,3.68E-02,4.07E-02,3.63E-02,3.70E-02,2.96E-02,1.76E-02,3.70E-02,3.79E-02
P37194,Outer membrane protein slp OS=Escherichia coli (strain K12) GN=slp PE=1 SV=1,slp,6,365.71,20932.71853,2,1.92E-02,1.46E-02,1.73E-02,8.20E-02,2.48E-02,3.54E-02,1.62E-02,1.05E-02,2.43E-02,2.75E-02,2.17E-02,2.12E-02,2.63E-01,2.76E-01,7.46E-02,5.39E-02,4.44E-01,4.01E-02,2.27E-02,2.07E-02,2.60E-02,2.03E-02
P37645,Uncharacterized protein yhjG OS=Escherichia coli (strain K12) GN=yhjG PE=4 SV=3,yhjG,6,259.98,74393.2067,2,1.98E-03,3.64E-03,2.44E-03,3.37E-03,3.59E-03,3.72E-03,2.53E-03,2.94E-03,4.58E-03,5.77E-03,9.19E-03,1.27E-02,3.18E-03,3.16E-03,3.59E-03,1.87E-03,5.65E-03,2.37E-03,4.04E-03,6.72E-03,2.65E-03,2.37E-03
P37665,Inner membrane lipoprotein yiaD OS=Escherichia coli (strain K12) GN=yiaD PE=1 SV=2,yiaD,6,520.41,22165.52748,2,1.27E-02,7.79E-02,2.40E-02,2.20E-03,4.76E-03,2.82E-03,5.85E-03,7.95E-03,1.80E-03,1.72E-03,1.09E-03,8.81E-04,7.71E-03,9.54E-03,1.44E-02,3.31E-02,1.14E-02,1.25E-02,5.01E-03,2.37E-03,5.00E-03,8.62E-03
P39285,Uncharacterized mscS family protein yjeP OS=Escherichia coli (strain K12) GN=yjeP PE=3 SV=3,mscM,6,245.94,123871.753,2,2.94E-03,4.83E-03,2.94E-03,3.19E-03,4.12E-03,5.78E-03,3.10E-03,5.17E-03,2.85E-03,2.89E-03,2.62E-03,3.40E-03,1.29E-03,1.46E-03,2.77E-03,3.73E-03,3.05E-03,2.52E-03,2.38E-03,3.47E-03,2.01E-03,2.72E-03
P02929,Protein tonB OS=Escherichia coli (strain K12) GN=tonB PE=1 SV=2,tonB,6,260.37,26059.99904,2,4.66E-03,3.24E-03,5.60E-03,2.26E-03,3.61E-03,3.46E-03,3.72E-03,4.22E-03,4.15E-03,2.56E-03,2.36E-03,1.86E-03,2.25E-03,2.15E-03,8.36E-03,9.44E-03,6.90E-03,7.38E-03,3.84E-03,2.74E-03,4.11E-03,6.11E-03
Q6BF17,D-galactonate dehydratase OS=Escherichia coli (strain K12) GN=dgoD PE=1 SV=1,dgoD,6,325.63,42477.7743,2,6.59E-04,8.98E-04,5.19E-04,2.78E-04,3.51E-04,5.28E-04,3.96E-04,2.39E-04,3.25E-04,5.54E-04,1.07E-03,7.06E-04,2.90E-04,2.03E-04,2.33E-04,5.05E-04,4.72E-04,5.80E-04,1.05E-03,4.76E-02,8.21E-04,8.45E-04
P77552,Uncharacterized protein ydhQ OS=Escherichia coli (strain K12) GN=ydhQ PE=4 SV=1,ydhQ,6,274.07,42831.72841,2,6.04E-03,2.26E-02,1.59E-02,4.87E-03,6.26E-03,5.95E-03,6.59E-03,5.33E-03,5.47E-03,4.69E-03,3.13E-03,2.02E-03,6.82E-03,5.52E-03,1.48E-02,1.19E-02,6.92E-03,1.01E-02,4.64E-03,3.35E-03,5.37E-03,6.09E-03
P0ADA5,Uncharacterized lipoprotein yajG OS=Escherichia coli (strain K12) GN=yajG PE=4 SV=1,yajG,6,410.42,20918.82524,2,1.59E-01,2.30E-01,2.69E-01,8.26E-02,1.25E-01,1.27E-01,1.41E-01,1.41E-01,1.35E-01,1.23E-01,8.49E-02,6.89E-02,4.79E-02,5.24E-02,1.05E-01,9.36E-02,7.66E-02,1.20E-01,1.24E-01,8.55E-02,1.29E-01,1.33E-01
P77338,Potassium efflux system KefA OS=Escherichia coli (strain K12) GN=kefA PE=1 SV=1,mscK,6,272.29,127117.3538,2,1.39E-03,3.31E-03,1.51E-03,6.90E-04,7.84E-04,1.21E-03,8.58E-04,1.23E-03,1.65E-03,1.15E-03,8.69E-04,8.52E-04,9.48E-04,9.77E-04,1.11E-03,2.93E-03,1.29E-03,1.49E-03,1.03E-03,4.73E-04,6.84E-04,1.97E-03
P0AFQ7,Uncharacterized deoxyribonuclease ycfH OS=Escherichia coli (strain K12) GN=ycfH PE=1 SV=1,ycfH,6,318.45,29772.09642,2,2.13E-03,4.22E-03,3.46E-03,1.63E-03,1.26E-03,1.50E-03,1.37E-03,1.36E-03,1.77E-03,1.12E-03,8.46E-04,7.99E-04,2.13E-03,2.47E-03,4.71E-03,3.42E-03,3.36E-03,2.57E-03,1.39E-03,8.53E-04,1.26E-03,1.82E-03
P23909,DNA mismatch repair protein mutS OS=Escherichia coli (strain K12) GN=mutS PE=1 SV=1,mutS,6,368.27,95169.13824,2,6.15E-03,1.84E-02,7.82E-03,3.52E-03,5.01E-03,5.76E-03,4.58E-03,7.41E-03,6.64E-03,4.71E-03,3.76E-03,3.47E-03,1.21E-03,1.96E-03,5.22E-03,6.32E-03,4.18E-03,5.61E-03,3.90E-03,2.43E-03,2.56E-03,5.69E-03
P0AFY8,Protein seqA OS=Escherichia coli (strain K12) GN=seqA PE=1 SV=1,seqA,6,309.14,20284.49411,2,4.57E-02,9.25E-02,5.74E-02,2.73E-02,3.20E-02,3.69E-02,3.43E-02,3.34E-02,3.06E-02,2.60E-02,2.35E-02,2.21E-02,3.77E-02,3.69E-02,5.15E-02,1.04E-01,5.85E-02,4.41E-02,3.43E-02,2.93E-02,3.38E-02,4.68E-02
P0CE49,Transposase insH for insertion sequence element IS5A OS=Escherichia coli (strain K12) GN=insH1 PE=3 SV=1,insH,6,196.39,39284.07353,1,3.67E-03,7.93E-03,NA,1.86E-03,4.71E-03,4.66E-03,2.57E-03,3.42E-03,3.58E-03,3.81E-03,2.94E-03,1.47E-03,1.74E-03,2.01E-03,3.69E-03,3.09E-03,2.34E-03,NA,NA,1.25E-03,3.69E-03,NA
P0A9H1,G/U mismatch-specific DNA glycosylase OS=Escherichia coli (strain K12) GN=mug PE=1 SV=1,mug,6,269.09,18643.80808,2,7.47E-03,9.46E-03,6.93E-03,4.16E-03,6.14E-03,5.56E-03,6.41E-03,5.27E-03,5.89E-03,5.33E-03,3.81E-03,3.11E-03,9.28E-03,5.58E-03,1.11E-02,1.53E-02,8.66E-03,5.52E-03,4.48E-03,6.14E-03,5.30E-03,5.28E-03
P21893,Single-stranded-DNA-specific exonuclease recJ OS=Escherichia coli (strain K12) GN=recJ PE=1 SV=2,recJ,6,270.97,63330.91448,1,5.35E-04,3.24E-03,NA,6.01E-05,1.32E-03,4.32E-04,5.46E-04,2.83E-04,1.65E-04,4.03E-04,5.47E-04,9.31E-05,5.04E-04,3.11E-04,2.55E-03,1.43E-03,1.36E-03,NA,NA,8.80E-05,3.69E-04,NA
P0A8W5,UPF0301 protein yqgE OS=Escherichia coli (strain K12) GN=yqgE PE=1 SV=1,yqgE,6,234.41,20654.80682,2,1.41E-02,1.51E-02,1.28E-02,6.37E-03,8.84E-03,1.00E-02,1.02E-02,9.05E-03,6.55E-03,5.57E-03,4.69E-03,3.85E-03,2.81E-03,2.87E-03,1.05E-02,8.51E-03,1.04E-02,8.53E-03,8.40E-03,6.08E-03,9.06E-03,1.36E-02
P0A8U6,Met repressor OS=Escherichia coli (strain K12) GN=metJ PE=1 SV=2,metJ,6,340.61,12115.13483,2,1.99E-02,2.46E-02,1.29E-02,1.39E-02,1.56E-02,1.55E-02,1.31E-02,1.29E-02,1.29E-02,1.23E-02,1.14E-02,1.11E-02,1.26E-02,1.20E-02,2.08E-02,2.00E-02,2.85E-02,1.56E-02,1.03E-02,1.10E-02,1.19E-02,1.34E-02
P45425,N-acetylmannosamine kinase OS=Escherichia coli (strain K12) GN=nanK PE=1 SV=2,nanK,6,362.02,29607.46552,2,3.28E-04,2.76E-02,3.84E-03,4.56E-04,7.59E-04,4.50E-04,6.00E-04,7.80E-04,8.36E-04,8.07E-04,6.37E-04,9.23E-04,1.56E-04,1.78E-04,3.38E-04,2.54E-04,2.05E-04,2.50E-04,9.54E-04,3.24E-04,5.75E-04,1.18E-03
P0A9F1,Transcriptional regulator mntR OS=Escherichia coli (strain K12) GN=mntR PE=1 SV=1,mntR,6,287.5,17611.22461,2,4.34E-03,6.53E-03,5.50E-03,2.67E-03,3.71E-03,3.80E-03,3.21E-03,3.75E-03,3.39E-03,2.80E-03,2.43E-03,1.93E-03,3.53E-03,2.23E-03,4.79E-03,3.09E-03,5.47E-03,4.44E-03,3.66E-03,1.98E-03,3.47E-03,3.90E-03
P0A8D0,Transcriptional repressor NrdR OS=Escherichia coli (strain K12) GN=nrdR PE=1 SV=1,nrdR,6,248.73,17199.80889,2,6.03E-03,6.39E-03,6.11E-03,4.67E-03,6.08E-03,6.12E-03,7.04E-03,6.32E-03,5.10E-03,3.78E-03,3.34E-03,2.83E-03,3.61E-03,2.78E-03,8.91E-03,1.00E-02,7.48E-03,6.88E-03,4.57E-03,3.21E-03,4.01E-03,6.76E-03
P77300,Uncharacterized HTH-type transcriptional regulator yagI OS=Escherichia coli (strain K12) GN=yagI PE=4 SV=1,yagI,6,253.49,27802.74063,1,1.71E-03,2.70E-04,NA,5.92E-04,5.71E-04,1.06E-03,1.43E-03,5.28E-04,3.91E-04,1.13E-03,4.93E-05,8.39E-05,2.89E-04,6.40E-05,5.66E-04,1.20E-03,1.05E-03,NA,NA,8.21E-04,8.25E-04,NA
P0A7D1,Peptidyl-tRNA hydrolase OS=Escherichia coli (strain K12) GN=pth PE=1 SV=1,pth,6,310.76,21051.07365,2,2.56E-02,4.15E-02,4.35E-02,1.11E-02,1.74E-02,1.87E-02,1.62E-02,1.67E-02,1.38E-02,1.04E-02,7.78E-03,6.60E-03,9.64E-03,8.53E-03,2.07E-02,2.17E-02,1.87E-02,1.58E-02,1.40E-02,9.26E-03,1.56E-02,1.81E-02
P0A7U3,30S ribosomal protein S19 OS=Escherichia coli (strain K12) GN=rpsS PE=1 SV=2,rpsS,6,532.76,10405.70428,2,3.28E-01,8.82E-01,5.77E-01,1.36E-01,2.03E-01,2.01E-01,2.37E-01,1.77E-01,2.01E-01,1.35E-01,8.90E-02,8.04E-02,1.30E-01,1.10E-01,3.10E-01,3.17E-01,2.95E-01,2.87E-01,2.21E-01,1.31E-01,2.10E-01,3.51E-01
P68679,30S ribosomal protein S21 OS=Escherichia coli (strain K12) GN=rpsU PE=1 SV=2,rpsU,6,437.08,8476.71577,2,4.00E-01,9.96E-01,6.75E-01,1.41E-01,2.26E-01,2.73E-01,2.92E-01,2.17E-01,2.44E-01,1.73E-01,1.27E-01,1.09E-01,1.40E-01,1.08E-01,3.55E-01,3.37E-01,3.67E-01,3.14E-01,2.23E-01,1.51E-01,2.30E-01,3.19E-01
P0A873,tRNA (guanine-N(1)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmD PE=1 SV=1,trmD,6,228.9,28386.44362,2,5.73E-03,1.11E-02,6.04E-03,3.13E-03,3.79E-03,3.73E-03,4.41E-03,3.43E-03,3.28E-03,2.43E-03,2.69E-03,1.79E-03,1.49E-03,2.32E-03,3.11E-03,3.99E-03,1.77E-03,1.73E-03,2.53E-03,1.55E-03,2.34E-03,2.14E-03
P0AA37,Ribosomal large subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rluA PE=1 SV=2,rluA,6,322.31,24826.72331,1,4.87E-03,1.59E-02,NA,2.58E-03,4.06E-03,3.12E-03,4.58E-03,2.33E-03,3.01E-03,5.24E-03,5.02E-03,2.61E-03,4.66E-04,2.87E-03,4.95E-03,6.02E-03,5.34E-03,NA,NA,2.74E-03,3.38E-03,NA
P0AFR4,Uncharacterized protein yciO OS=Escherichia coli (strain K12) GN=yciO PE=1 SV=1,yciO,6,367.16,23178.95771,2,2.72E-02,4.19E-02,3.18E-02,2.78E-02,2.86E-02,3.46E-02,3.13E-02,2.74E-02,3.02E-02,2.50E-02,2.81E-02,3.06E-02,4.05E-02,4.58E-02,4.74E-02,3.07E-02,4.75E-02,3.33E-02,3.03E-02,3.75E-02,2.50E-02,2.98E-02
P0A9J0,Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2,rng,6,275.86,55311.45087,2,7.81E-03,9.00E-03,6.93E-03,5.33E-03,4.91E-03,6.40E-03,7.29E-03,5.76E-03,8.27E-03,6.39E-03,5.12E-03,3.01E-03,1.70E-03,1.20E-03,5.01E-03,5.67E-03,6.05E-03,5.13E-03,6.16E-03,4.21E-03,5.33E-03,7.91E-03
P0ABD8,Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1,accB,6,354.47,16658.41639,2,7.12E-02,1.68E-01,1.22E-01,3.82E-02,5.40E-02,5.60E-02,6.09E-02,5.59E-02,5.23E-02,4.07E-02,3.46E-02,3.03E-02,5.58E-02,5.15E-02,9.07E-02,1.04E-01,7.44E-02,6.38E-02,5.73E-02,4.59E-02,6.24E-02,6.59E-02
Q46939,Probable acetyl-CoA acetyltransferase OS=Escherichia coli (strain K12) GN=yqeF PE=3 SV=2,yqeF,6,286.64,40975.11436,2,1.30E-03,7.67E-03,7.17E-03,3.16E-03,6.82E-03,3.96E-03,3.22E-03,3.20E-03,2.73E-03,3.54E-03,2.39E-03,1.53E-03,6.75E-04,8.19E-04,1.19E-03,7.70E-04,5.66E-04,1.14E-03,4.48E-03,5.47E-03,6.34E-03,2.77E-03
P0ABQ2,2-hydroxy-3-oxopropionate reductase OS=Escherichia coli (strain K12) GN=garR PE=1 SV=1,garR,6,543.5,30389.81841,2,1.34E-03,3.88E-02,2.97E-03,1.25E-03,2.24E-03,1.72E-03,1.73E-03,1.17E-03,1.49E-03,1.80E-03,1.47E-03,2.33E-03,4.02E-04,3.68E-04,1.10E-03,1.82E-03,8.60E-04,1.15E-03,1.53E-03,1.09E-03,1.54E-03,1.07E-03
P12995,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS=Escherichia coli (strain K12) GN=bioA PE=1 SV=2,bioA,6,290.8,47286.45536,2,1.09E-02,2.61E-03,1.57E-02,9.81E-03,6.89E-03,8.56E-03,7.11E-03,6.52E-03,8.77E-03,5.57E-03,3.92E-03,3.24E-03,9.21E-03,1.06E-02,2.44E-02,1.39E-02,1.09E-02,1.13E-02,7.26E-03,6.82E-03,8.31E-03,7.80E-03
P0AC13,Dihydropteroate synthase OS=Escherichia coli (strain K12) GN=folP PE=1 SV=1,folP,6,392.79,30577.67761,2,1.13E-02,2.18E-02,1.83E-02,7.45E-03,8.80E-03,9.69E-03,8.46E-03,7.74E-03,9.24E-03,5.88E-03,3.85E-03,2.73E-03,4.64E-03,3.75E-03,1.30E-02,1.09E-02,1.12E-02,1.03E-02,6.75E-03,5.24E-03,9.58E-03,8.95E-03
P0ABU0,"1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1",menB,6,309.96,31594.51617,2,2.93E-02,6.63E-02,3.56E-02,2.57E-02,2.81E-02,2.93E-02,2.79E-02,2.44E-02,2.72E-02,2.46E-02,2.12E-02,2.25E-02,1.22E-02,1.98E-02,2.86E-02,3.99E-02,4.35E-02,3.22E-02,2.71E-02,2.67E-02,3.02E-02,2.47E-02
P0A738,Molybdenum cofactor biosynthesis protein C OS=Escherichia coli (strain K12) GN=moaC PE=1 SV=2,moaC,6,452.92,17437.96509,2,9.15E-03,1.17E-02,6.67E-03,4.51E-03,5.33E-03,7.23E-03,5.86E-03,5.61E-03,5.13E-03,4.01E-03,3.00E-03,2.86E-03,7.47E-03,9.84E-03,2.06E-02,1.82E-02,1.27E-02,9.94E-03,6.29E-03,5.83E-03,6.44E-03,9.51E-03
P0AFI7,Pyridoxine/pyridoxamine 5'-phosphate oxidase OS=Escherichia coli (strain K12) GN=pdxH PE=1 SV=2,pdxH,6,332.99,25511.16439,2,1.28E-02,9.85E-03,1.19E-02,1.01E-02,1.24E-02,1.12E-02,1.28E-02,1.28E-02,1.24E-02,1.04E-02,8.35E-03,6.95E-03,7.60E-03,1.15E-02,1.77E-02,1.88E-02,1.91E-02,1.97E-02,1.26E-02,9.69E-03,1.37E-02,1.47E-02
P0AG40,Riboflavin biosynthesis protein ribF OS=Escherichia coli (strain K12) GN=ribF PE=1 SV=1,ribF,6,272.86,34694.52422,2,9.22E-03,1.23E-02,1.00E-02,5.74E-03,7.52E-03,8.42E-03,8.89E-03,8.12E-03,1.04E-02,6.54E-03,7.33E-03,5.07E-03,4.16E-03,4.65E-03,6.08E-03,1.03E-02,8.68E-03,8.61E-03,6.49E-03,6.59E-03,6.68E-03,9.79E-03
P36553,"Coproporphyrinogen-III oxidase, aerobic OS=Escherichia coli (strain K12) GN=hemF PE=1 SV=1",hemF,6,186.94,34282.78379,1,6.60E-03,2.51E-03,NA,1.91E-03,3.07E-03,2.79E-03,1.94E-03,2.56E-03,2.43E-03,2.78E-03,9.20E-04,9.10E-04,9.83E-04,6.45E-04,4.09E-03,7.86E-03,5.89E-03,NA,NA,1.17E-03,1.62E-03,NA
P25539,Riboflavin biosynthesis protein RibD OS=Escherichia coli (strain K12) GN=ribD PE=1 SV=1,ribD,6,293.83,40294.80788,2,1.30E-02,8.66E-03,8.28E-03,7.07E-03,1.01E-02,1.19E-02,1.18E-02,1.20E-02,8.96E-03,5.77E-03,4.80E-03,4.17E-03,6.29E-03,6.14E-03,1.26E-02,1.19E-02,1.62E-02,1.08E-02,8.54E-03,7.70E-03,1.10E-02,9.29E-03
P26612,Cytoplasmic alpha-amylase OS=Escherichia coli (strain K12) GN=amyA PE=3 SV=3,amyA,6,226.51,56585.35938,2,1.02E-02,7.32E-03,1.03E-02,1.06E-02,1.35E-02,1.14E-02,1.72E-02,9.34E-03,1.05E-02,1.02E-02,8.98E-03,8.09E-03,1.24E-02,1.33E-02,2.36E-02,7.83E-03,2.11E-02,1.58E-02,1.74E-02,1.56E-02,1.47E-02,1.53E-02
P0A955,KHG/KDPG aldolase OS=Escherichia coli (strain K12) GN=eda PE=1 SV=1,eda,6,410.21,22251.88875,2,1.34E-01,1.80E-01,1.42E-01,8.69E-02,8.28E-02,1.11E-01,8.05E-02,9.42E-02,1.07E-01,8.83E-02,6.54E-02,4.62E-02,7.70E-02,6.61E-02,1.78E-01,1.46E-01,1.92E-01,1.25E-01,8.75E-02,7.53E-02,1.01E-01,1.32E-01
P39366,Putative aminopeptidase sgcX OS=Escherichia coli (strain K12) GN=sgcX PE=3 SV=3,sgcX,6,338.01,40570.68839,2,3.28E-04,3.73E-04,3.80E-04,3.45E-04,4.61E-04,8.36E-04,3.53E-04,2.45E-04,1.29E-04,5.83E-04,1.24E-03,1.12E-02,4.34E-04,6.50E-04,6.75E-05,6.38E-04,1.26E-04,1.90E-04,1.77E-04,2.39E-04,1.80E-04,3.62E-04
P77713,Putative beta-xylosidase OS=Escherichia coli (strain K12) GN=yagH PE=3 SV=1,yagH,6,323.2,60768.44307,2,2.49E-03,3.40E-03,3.21E-03,1.26E-03,2.82E-03,3.17E-03,2.50E-03,2.64E-03,2.77E-03,2.55E-03,3.35E-03,2.55E-03,1.66E-03,1.80E-03,1.46E-03,2.99E-03,1.45E-03,3.04E-02,1.82E-03,1.42E-03,1.84E-03,2.11E-03
